message,label
Hello how are you,0
Good morning have a nice day,0
Let us meet tomorrow for class,0
Can you help me with homework,0
Thank you for your help,0
See you in the evening,0
What time is the meeting,0
Please send the notes,0
Hope you are doing well,0
Let us work on the project together,0
This is a normal conversation,0
Nice talking to you,0
Are you free today,0
We will discuss this later,0
Take care and stay safe,0

You are stupid and useless,1
Nobody likes you go away,1
I hate you so much,1
You are pathetic and worthless,1
If you dont listen I will ruin your life,1
Do this or else I will expose you,1
I will hurt you if you refuse,1
Dont tell anyone this is our secret,1
How old are you send your photo,1
Meet me alone dont tell your parents,1
I know where you live,1
Share this or I will post it online,1
You must obey me or else,1
This is our secret dont tell anyone,1
